stock_name,current_price,change_percent,opening_price,closing_highest_price,closing_lowest_price,closing_volume_traded
PAXMEDICA INC.,0.8390,+103.69%,1.1100,1.1900,0.8030,"114,294,741"
MOBILE-HEALTH NETWORK SOLUTIONS,15.00,+47.06%,11.57,15.72,10.17,"10,659,967"
BENEFICIENT,0.0974,+40.96%,0.1086,0.1248,0.0856,"122,806,096"
CONNEXA SPORTS TECHNOLOGIES,1.50,+38.89%,1.02,1.57,0.95,"16,877,808"
PARAZERO TECHNOLOGIES,1.0800,+38.46%,0.8860,1.1800,0.7715,"12,943,907"
APPLIED UV,7.00,+34.62%,5.01,7.05,5.01,"9,142"
EZGO TECHNOLOGIES,2.0600,+29.72%,1.7400,3.8000,1.6808,"22,859,604"
NEXTPLAT CORP,1.87,+24.67%,2.49,2.68,1.78,"45,710,685"
HANRYU HOLDINGS INC.,0.5007,+23.63%,0.4220,0.5463,0.4220,"2,267,469"
DAVIS COMMODITIES,1.30,+22.64%,1.05,1.49,1.00,"2,009,063"
BROOGE ENERGY LTD.,1.36,+21.43%,1.14,1.63,1.10,"5,926,738"
Q32 BIO INC.,28.89,+21.34%,25.60,30.92,25.60,"271,985"
SONDER HOLDINGS INC.,5.74,+20.84%,4.64,5.89,4.64,"205,972"
RANI THERAPEUTICS HLD.,5.40,+20.81%,4.49,5.67,4.43,"489,419"
HUDSON ACQUISITION I,0.1894,+18.38%,0.1443,0.1894,0.1443,837
SUPERCOM,0.2760,+17.75%,0.2534,0.3007,0.2500,"18,690,151"
GRAPHJET TECHNOLOGY,10.14,+17.09%,8.80,11.00,8.80,"51,665"
ZURA BIO LTD.,3.36,+17.07%,2.92,3.70,2.89,"457,687"
YOTTA ACQUISITION,0.1401,+16.75%,0.1500,0.1500,0.1400,"1,150"
VERDE CLEAN FUELS INC.,4.66,+16.50%,4.14,4.66,4.07,"21,195"
QILIAN INTERNATIONAL HOLDING GROUP,0.7600,+15.92%,0.7000,0.7600,0.6787,"3,049,222"
ADAPTIVE BIOTECHNOLOGIES,3.01,+14.89%,2.59,3.10,2.55,"6,505,403"
WINDTREE THERAPEUTICS INC.,0.4350,+14.78%,0.3860,0.4831,0.3598,"802,482"
SOLOWIN HLD.,10.50,+14.75%,8.90,11.67,8.89,"664,102"
CUTERA INC.,2.21,+14.51%,1.92,2.64,1.79,"1,785,958"
MARINE PETROLEUM TRUST UNITS OF BENEFIC,5.38,+14.47%,4.82,6.50,4.82,"287,367"
TOMI ENVIRONMENTAL SOLUTIONS,0.6290,+14.34%,0.5600,0.6298,0.5501,"40,248"
GAMER PAKISTAN INC.,0.2570,+14.32%,0.2181,0.2949,0.2060,"739,531"
UROGEN PHARMA,15.10,+13.96%,13.09,15.21,13.00,"1,228,983"
WHEELER REAL ESTATE INVESTMENT TRUST,0.1643,+13.55%,0.1470,0.1669,0.1390,"671,797"
