index,company_name,stock_symbol,portfolio_percent,price,flat_change,percent_change
1,Microsoft Corp,MSFT,7.11%,424.57,3.85,(0.92%)
2,Apple Inc.,AAPL,5.71%,170.03,-1.45,(-0.85%)
3,Nvidia Corp,NVDA,5.06%,903.63,0.07,(0.01%)
4,Amazon.com Inc,AMZN,3.73%,180.97,0.59,(0.33%)
5,"Meta Platforms, Inc. Class A",META,2.47%,491.35,5.77,(1.19%)
6,Alphabet Inc. Class A,GOOGL,2.02%,155.49,4.56,(3.02%)
7,Berkshire Hathaway Class B,BRK.B,1.72%,420.20,-0.32,(-0.08%)
8,Alphabet Inc. Class C,GOOG,1.70%,156.50,4.24,(2.78%)
9,Eli Lilly & Co.,LLY,1.41%,760.55,-17.41,(-2.24%)
10,Broadcom Inc.,AVGO,1.32%,"1,350.26",24.85,(1.87%)
11,Jpmorgan Chase & Co.,JPM,1.31%,198.94,-1.36,(-0.68%)
12,"Tesla, Inc.",TSLA,1.13%,175.22,-0.57,(-0.32%)
13,Exxon Mobil Corporation,XOM,1.04%,116.99,0.75,(0.65%)
14,Unitedhealth Group Incorporated,UNH,1.03%,489.70,-5.00,(-1.01%)
15,Visa Inc.,V,1.00%,278.28,-0.80,(-0.29%)
16,Mastercard Incorporated,MA,0.90%,478.40,-3.17,(-0.66%)
17,"Home Depot, Inc.",HD,0.87%,368.03,-15.57,(-4.06%)
18,Procter & Gamble Company,PG,0.87%,160.58,-1.67,(-1.03%)
19,Johnson & Johnson,JNJ,0.86%,157.78,-0.41,(-0.26%)
20,"Merck & Co., Inc.",MRK,0.76%,130.99,-0.96,(-0.73%)
21,Costco Wholesale Corp,COST,0.74%,721.24,-11.39,(-1.55%)
22,Abbvie Inc.,ABBV,0.72%,180.76,-1.34,(-0.74%)
23,"Salesforce, Inc.",CRM,0.66%,302.26,1.08,(0.36%)
24,Advanced Micro Devices,AMD,0.66%,183.34,2.85,(1.58%)
25,Chevron Corporation,CVX,0.62%,159.08,1.34,(0.85%)
26,Netflix Inc,NFLX,0.60%,614.31,6.98,(1.15%)
27,Bank of America Corporation,BAC,0.59%,37.52,-0.40,(-1.05%)
28,Walmart Inc.,WMT,0.59%,60.00,-0.17,(-0.28%)
29,"Pepsico, Inc.",PEP,0.54%,172.98,-2.03,(-1.16%)
30,Coca-Cola Company,KO,0.54%,60.68,-0.50,(-0.82%)
31,Adobe Inc.,ADBE,0.52%,502.09,-2.51,(-0.50%)
32,Symbol Not Found,LIN,0.51%,463.40,-0.92,(-0.20%)
33,"Thermo Fisher Scientific, Inc.",TMO,0.51%,577.45,-3.76,(-0.65%)
34,The Walt Disney Company,DIS,0.50%,121.53,-0.83,(-0.68%)
35,Accenture Plc,ACN,0.49%,339.17,-7.44,(-2.15%)
36,Wells Fargo & Co.,WFC,0.47%,57.61,-0.35,(-0.60%)
37,Mcdonald's Corporation,MCD,0.46%,280.22,-1.73,(-0.61%)
38,"Cisco Systems, Inc.",CSCO,0.46%,50.04,0.13,(0.26%)
39,Oracle Corp,ORCL,0.45%,125.48,-0.13,(-0.10%)
40,Abbott Laboratories,ABT,0.45%,112.09,-1.57,(-1.38%)
41,General Electric Company,GE,0.44%,175.36,-0.17,(-0.10%)
42,Qualcomm Inc,QCOM,0.43%,171.72,2.42,(1.43%)
43,Caterpillar Inc.,CAT,0.42%,363.74,-2.69,(-0.73%)
44,Intel Corp,INTC,0.42%,44.52,0.35,(0.79%)
45,Intuit Inc,INTU,0.41%,639.84,-10.16,(-1.56%)
46,International Business Machines Corporation,IBM,0.40%,189.83,-1.13,(-0.59%)
47,Verizon Communications,VZ,0.40%,42.28,0.32,(0.76%)
48,Applied Materials Inc,AMAT,0.39%,208.69,2.46,(1.19%)
49,Comcast Corp,CMCSA,0.39%,42.28,-1.07,(-2.47%)
50,Symbol Not Found,DHR,0.37%,247.79,-1.93,(-0.77%)
51,"Uber Technologies, Inc.",UBER,0.36%,76.40,-0.59,(-0.77%)
52,Texas Instruments Incorporated,TXN,0.36%,173.17,-1.04,(-0.60%)
53,Pfizer Inc.,PFE,0.36%,27.72,-0.03,(-0.11%)
54,"Servicenow, Inc.",NOW,0.35%,768.37,5.97,(0.78%)
55,Amgen Inc,AMGN,0.35%,283.04,-1.28,(-0.45%)
56,Conocophillips,COP,0.34%,128.68,1.40,(1.10%)
57,Symbol Not Found,UNP,0.34%,243.30,-2.63,(-1.07%)
58,Lowe's Companies Inc.,LOW,0.33%,249.28,-5.45,(-2.14%)
59,Philip Morris International Inc.,PM,0.32%,91.44,-0.18,(-0.20%)
60,Intuitive Surgical Inc.,ISRG,0.32%,394.87,-4.22,(-1.06%)
61,S&p Global Inc.,SPGI,0.31%,427.09,1.64,(0.39%)
