,stock_symbol,stock_url,stock_name
0,TEMP.CN,/quote/TEMP.CN,Tempus Capital Inc.
1,JHC.V,/quote/JHC.V,Jinhua Capital Corporation
2,AFF.CN,/quote/AFF.CN,Affinity Metals Corp.
3,FCO-H.V,/quote/FCO-H.V,FABLED SILVER GOLD CORP
4,HBK.V,/quote/HBK.V,Highbank Resources Ltd.
5,VENI.CN,/quote/VENI.CN,Vencanna Ventures Inc.
6,NUG.V,/quote/NUG.V,NuLegacy Gold Corporation
7,SILV.V,/quote/SILV.V,Silver Valley Metals Corp.
8,MASS.V,/quote/MASS.V,Masivo Silver Corp.
9,TRYP.CN,/quote/TRYP.CN,Tryp Therapeutics Inc.
10,KLX.V,/quote/KLX.V,Carbon Done Right Developments Inc.
11,DMED.CN,/quote/DMED.CN,Diagnamed Holdings Corp.
12,NBR.V,/quote/NBR.V,Nubian Resources Ltd.
13,GGA.V,/quote/GGA.V,Goldgroup Mining Inc.
14,LOT.V,/quote/LOT.V,TomaGold Corporation
15,FNR.V,/quote/FNR.V,49 North Resources Inc.
16,SPAI.CN,/quote/SPAI.CN,Sparc Al Inc
17,BZ.V,/quote/BZ.V,Benz Mining Corp.
18,KAPA.V,/quote/KAPA.V,Kapa Gold Inc.
19,REE.V,/quote/REE.V,E-Tech Resources Inc.
20,EGT.V,/quote/EGT.V,Eguana Technologies Inc.
21,QCX.V,/quote/QCX.V,QcX Gold Corp.
22,PGDC.V,/quote/PGDC.V,Patagonia Gold Corp.
23,SDR.V,/quote/SDR.V,Stroud Resources Ltd.
24,YNV.V,/quote/YNV.V,Ynvisible Interactive Inc.
25,TEMP.CN,/quote/TEMP.CN,Tempus Capital Inc.
26,JHC.V,/quote/JHC.V,Jinhua Capital Corporation
27,AFF.CN,/quote/AFF.CN,Affinity Metals Corp.
28,FCO-H.V,/quote/FCO-H.V,FABLED SILVER GOLD CORP
29,HBK.V,/quote/HBK.V,Highbank Resources Ltd.
30,VENI.CN,/quote/VENI.CN,Vencanna Ventures Inc.
31,NUG.V,/quote/NUG.V,NuLegacy Gold Corporation
32,SILV.V,/quote/SILV.V,Silver Valley Metals Corp.
33,MASS.V,/quote/MASS.V,Masivo Silver Corp.
34,TRYP.CN,/quote/TRYP.CN,Tryp Therapeutics Inc.
35,KLX.V,/quote/KLX.V,Carbon Done Right Developments Inc.
36,DMED.CN,/quote/DMED.CN,Diagnamed Holdings Corp.
37,NBR.V,/quote/NBR.V,Nubian Resources Ltd.
38,GGA.V,/quote/GGA.V,Goldgroup Mining Inc.
39,LOT.V,/quote/LOT.V,TomaGold Corporation
40,FNR.V,/quote/FNR.V,49 North Resources Inc.
41,SPAI.CN,/quote/SPAI.CN,Sparc Al Inc
42,BZ.V,/quote/BZ.V,Benz Mining Corp.
43,KAPA.V,/quote/KAPA.V,Kapa Gold Inc.
44,REE.V,/quote/REE.V,E-Tech Resources Inc.
45,EGT.V,/quote/EGT.V,Eguana Technologies Inc.
46,QCX.V,/quote/QCX.V,QcX Gold Corp.
47,PGDC.V,/quote/PGDC.V,Patagonia Gold Corp.
48,SDR.V,/quote/SDR.V,Stroud Resources Ltd.
49,YNV.V,/quote/YNV.V,Ynvisible Interactive Inc.
