,stock_symbol,stock_url,stock_name
0,CANN.CN,/quote/CANN.CN,Heritage Cannabis Holdings Corp.
1,ENBI.CN,/quote/ENBI.CN,Entheon Biomedical Corp.
2,DCNN.CN,/quote/DCNN.CN,Digicann Ventures Inc.
3,WCE.V,/quote/WCE.V,WesCan Energy Corp.
4,ZEU.CN,/quote/ZEU.CN,ZeU Technologies Inc.
5,CME.CN,/quote/CME.CN,Canadian Metals Inc.
6,RG.V,/quote/RG.V,Romios Gold Resources Inc.
7,GYM.V,/quote/GYM.V,TUT Fitness Group Inc.
8,SASY.CN,/quote/SASY.CN,Sassy Gold Corp.
9,FLYN.V,/quote/FLYN.V,Flying Nickel Mining Corp.
10,CN.V,/quote/CN.V,Condor Resources Inc.
11,CHS.V,/quote/CHS.V,"Comprehensive Healthcare Systems, Inc."
12,PDFI.CN,/quote/PDFI.CN,Prophecy DeFi Inc.
13,TAJ.V,/quote/TAJ.V,Tajiri Resources Corp.
14,SGC.V,/quote/SGC.V,Solstice Gold Corp.
15,EDGM.CN,/quote/EDGM.CN,Edgemont Gold Corp.
16,BRAU.V,/quote/BRAU.V,Big Ridge Gold Corp.
17,AYR-WTU.CN,/quote/AYR-WTU.CN,
18,MNRG.V,/quote/MNRG.V,Monumental Energy Corp.
19,MUR.V,/quote/MUR.V,Murchison Minerals Ltd.
20,AUMN.TO,/quote/AUMN.TO,Golden Minerals Company
21,AUU.V,/quote/AUU.V,Gold79 Mines Ltd.
22,SOP-H.V,/quote/SOP-H.V,SOPerior Fertilizer Corp.
23,PHD.V,/quote/PHD.V,Providence Gold Mines Inc.
24,SMC.TO,/quote/SMC.TO,Sulliden Mining Capital Inc.
25,CANN.CN,/quote/CANN.CN,Heritage Cannabis Holdings Corp.
26,ENBI.CN,/quote/ENBI.CN,Entheon Biomedical Corp.
27,DCNN.CN,/quote/DCNN.CN,Digicann Ventures Inc.
28,WCE.V,/quote/WCE.V,WesCan Energy Corp.
29,ZEU.CN,/quote/ZEU.CN,ZeU Technologies Inc.
30,CME.CN,/quote/CME.CN,Canadian Metals Inc.
31,RG.V,/quote/RG.V,Romios Gold Resources Inc.
32,GYM.V,/quote/GYM.V,TUT Fitness Group Inc.
33,SASY.CN,/quote/SASY.CN,Sassy Gold Corp.
34,FLYN.V,/quote/FLYN.V,Flying Nickel Mining Corp.
35,CN.V,/quote/CN.V,Condor Resources Inc.
36,CHS.V,/quote/CHS.V,"Comprehensive Healthcare Systems, Inc."
37,PDFI.CN,/quote/PDFI.CN,Prophecy DeFi Inc.
38,TAJ.V,/quote/TAJ.V,Tajiri Resources Corp.
39,SGC.V,/quote/SGC.V,Solstice Gold Corp.
40,EDGM.CN,/quote/EDGM.CN,Edgemont Gold Corp.
41,BRAU.V,/quote/BRAU.V,Big Ridge Gold Corp.
42,AYR-WTU.CN,/quote/AYR-WTU.CN,
43,MNRG.V,/quote/MNRG.V,Monumental Energy Corp.
44,MUR.V,/quote/MUR.V,Murchison Minerals Ltd.
45,AUMN.TO,/quote/AUMN.TO,Golden Minerals Company
46,AUU.V,/quote/AUU.V,Gold79 Mines Ltd.
47,SOP-H.V,/quote/SOP-H.V,SOPerior Fertilizer Corp.
48,PHD.V,/quote/PHD.V,Providence Gold Mines Inc.
49,SMC.TO,/quote/SMC.TO,Sulliden Mining Capital Inc.
